time,open,high,low,close,ATR,EMA,EMA,MA,MA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-12-02T12:45:00Z,7.3,7.32,7.29,7.29,0.025180801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2100,1217.8,4885.5,44950,7055,4885.5,1
2020-12-02T13:00:00Z,7.29,7.29,7.26,7.26,0.025525029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2060,1250.7,6376.5,44950,9115,6376.5,1
2020-12-02T13:15:00Z,7.27,7.28,7.27,7.27,0.025130384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,1248.5,7481,44950,9515,7481,1
2020-12-02T13:30:00Z,7.28,7.3,7.28,7.3,0.025478214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,1248.7,8430.5,44950,9660,8430.5,1
2020-12-02T13:45:00Z,7.31,7.34,7.3,7.31,0.026515484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,825,1223.2,10028,44950,10485,10028,1
2020-12-02T14:00:00Z,7.3,7.3,7.26,7.26,0.02819295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1435,1242.6,11466.5,44950,11920,11466.5,1
2020-12-02T14:15:00Z,7.27,7.28,7.26,7.27,0.027607739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1690,1261,12516,44950,13610,12516,1
2020-12-02T14:30:00Z,7.27,7.27,7.23,7.23,0.0284929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2870,1285.1,14886.5,44950,16480,14886.5,1
2020-12-02T14:45:00Z,7.24,7.24,7.23,7.23,0.027171979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1285,1280.7,16813.5,44950,17765,16813.5,1
2020-12-02T15:00:00Z,7.22,7.23,7.2,7.21,0.027373981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1580,1308,18427,44950,19345,18427,1
2020-12-02T15:15:00Z,7.21,7.22,7.21,7.21,0.026132982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145,1330.8,21536.5,44950,20490,NaN,0
2020-12-02T15:30:00Z,7.21,7.23,7.2,7.23,0.026409198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2255,1361.5,22886,44950,22745,NaN,0
2020-12-02T15:45:00Z,7.24,7.24,7.21,7.22,0.026665683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3570,1425.3,24492.5,44950,26315,24492.5,1
2020-12-02T16:00:00Z,7.22,7.23,7.22,7.23,0.025475277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195,1390.2,25182,44950,26510,25182,1
2020-12-02T16:15:00Z,7.23,7.23,7.2,7.2,0.025798472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1635,1405.4,27033.5,44950,28145,27033.5,1
2020-12-02T16:30:00Z,7.21,7.21,7.18,7.18,0.026098581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,395,1382.8,28041.5,44950,28540,28041.5,1
2020-12-02T16:45:00Z,7.19,7.2,7.18,7.2,0.025662968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075,1360.2,28941.5,44950,29615,28941.5,1
2020-12-02T17:00:00Z,7.2,7.2,7.19,7.19,0.024544185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,260,1336.1,29856,44950,29875,29856,1
2020-12-02T17:15:00Z,7.19,7.2,7.19,7.19,0.023505314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,485,1339.9,30586,44950,30360,NaN,0
2020-12-02T17:30:00Z,7.19,7.2,7.19,7.19,0.022540649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,550,1319.1,31483,44950,30910,NaN,0
2020-12-02T17:45:00Z,7.19,7.19,7.18,7.18,0.021644888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,425,1287.2,32313,44950,31335,NaN,0
2020-12-02T18:00:00Z,7.18,7.19,7.18,7.19,0.020813111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205,1249.2,33171.5,44950,31540,NaN,0
2020-12-02T18:15:00Z,7.19,7.21,7.18,7.2,0.021469317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1130,1252.5,33986.5,44950,32670,NaN,0
2020-12-02T18:30:00Z,7.2,7.22,7.2,7.22,0.021364366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1125,1252.3,34792,44950,33795,NaN,0
2020-12-02T18:45:00Z,7.22,7.25,7.22,7.24,0.021981197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8765,1394.6,36147.5,44950,42560,36147.5,1
2020-12-02T19:30:00Z,7.23,7.23,7.23,7.23,0.021125397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1400,1378.9,38865.5,44950,43960,38865.5,1
2020-12-02T19:45:00Z,7.22,7.22,7.2,7.21,0.021759297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1255,1349.5,40845.5,44950,45215,40845.5,1
2020-12-02T20:00:00Z,7.21,7.21,7.2,7.2,0.020919347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,485,1337.9,42265.5,44950,45700,42265.5,1
2020-12-02T20:15:00Z,7.21,7.21,7.2,7.21,0.020139394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350,1304.5,43171.5,44950,46050,43171.5,1
2020-12-02T20:30:00Z,7.2,7.21,7.2,7.21,0.019415152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,810,1303.9,44290,44950,46860,44290,1
2020-12-02T20:45:00Z,7.21,7.23,7.2,7.2,0.020171212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1580,1324,45187,44950,48440,45187,1
2020-12-03T12:00:00Z,7.19,7.22,7.15,7.21,0.023730411,7.490925649,7.502803997,NaN,NaN,NaN,NaN,NaN,NaN,1670,1336,35791,48440,1670,NaN,0
2020-12-03T12:15:00Z,7.21,7.24,7.2,7.24,0.024892525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4460,1409.5,2061,48440,6130,2061,2
2020-12-03T12:30:00Z,7.25,7.26,7.25,7.25,0.024543059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1250,1430.8,3143.5,48440,7380,3143.5,2
2020-12-03T12:45:00Z,7.26,7.27,7.26,7.26,0.024218555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3660,1487.3,4678,48440,11040,4678,2
2020-12-03T13:00:00Z,7.26,7.26,7.23,7.23,0.024631515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1505,1506.1,6010.5,48440,12545,6010.5,2
2020-12-03T13:15:00Z,7.22,7.23,7.21,7.21,0.024300692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1245,1511.2,7078,48440,13790,7078,1
